Stock,Adj_Close,High_1,Low_1,VolChg2_1,Adj_Close_1,IndexChg2_1,High_2,Low_2,VolChg3_2,Adj_Close_2,IndexChg3_2,High_3,Low_3,VolChg4_3,Adj_Close_3,IndexChg4_3,High_4,Low_4,VolChg5_4,Adj_Close_4,IndexChg5_4,High_5,Low_5,Adj_Close_5,VolChg5.1
XOM,79.550003,82.129997,81.269997,21.57,81.889999,-168.43,82.650002,81.25,-23.61711632,81.660004,93.47,81.260002,80.459999,22.20203771,81.230003,0,82.169998,81.099998,22.53447673,81.25,-1.2,82.349998,80.199997,81.879997,21.91914411
CVX,90.25,92.650002,90.970001,22.04,92.480003,-168.43,91.959999,90.440002,-23.05839279,91.32,93.47,90.839996,90.050003,21.45337313,90.370003,0,91.32,90.160004,21.57759294,90.870003,-1.2,92.300003,89.800003,91.349998,16.61539974
SLB,75.809998,78.220001,76.5,-17.56,78.169998,-168.43,77.870003,76.82,-22.20421888,77.150002,93.47,77.5,76.440002,19.79249165,76.830002,0,78.5,76.459999,21.47015639,77.028706,-1.2,78.980003,77.050003,77.674505,21.6994352
APC,58.77,61.189999,59.75,16.9,60.5,-168.43,62,59.799999,-21.58971149,59.900002,93.47,61.02,60.130001,18.87267488,60.709999,0,62.240002,61.029999,21.33941075,61.130001,-1.2,62.490002,60.849998,62.02,-16.00140819
EOG,80.860001,84.129997,83.019997,20.23,84.050003,-168.43,84.639999,82.199997,-21.13570929,83.43,93.47,83.269997,81.900002,20.60095823,82.019997,0,84.629997,83.199997,20.40030827,83.529999,-1.2,85.650002,83.160004,85.139999,20.13395494
OXY,75.309998,76.75,75.010002,18.57,76.690002,-168.43,76.400002,74.809998,-22.27,75.589996,93.47,75.260002,74.5,20.55,75.190002,0,76.040001,74.75,20.34,75.379997,-1.2,76.209999,73.970001,75.900002,20.30139795
COP,52.549999,54.75,53.900002,19.47,54.610001,-168.43,54.490002,53.349998,-22.42670087,54.049999,93.47,54.09,53.25,21.16919347,53.48,0,55.080002,54.32,21.54759685,54.380001,-1.2,55.610001,53.380001,55.32,-19.9179431
VLO,71.690002,72.900002,71.260002,21.36,72.57,-168.43,73.07,71.25,-22.38658667,71.860001,93.47,73.199997,72.379997,20.83499254,72.940002,0,73.800003,72.660004,20.97757062,72.93,-1.2,73.879997,71.839996,73.029999,23.2717605
PXD,143.820007,149.399994,145.979996,-19.19,149.25,-168.43,146.419998,143.550003,-19.68602854,144.75,93.47,147,144.089996,19.50086521,144.630005,0,148.289993,145,20.21228738,146.580002,-1.2,149.990005,145.059998,147.940002,21.79288877
TSO,112.75,117.860001,114.080002,18.54,117.809998,-168.43,118.089996,113.5,-20.61135266,115.169998,93.47,118.099998,115.959999,19.6800298,117.220001,0,118.690002,116.699997,19.74468276,117.300003,-1.2,119.669998,115.919998,117.739995,19.99175433
