Stock,Adj_Close,High_1,Low_1,VolChg2_1,Adj_Close_1,IndexChg2_1,High_2,Low_2,VolChg3_2,Adj_Close_2,IndexChg3_2,High_3,Low_3,VolChg4_3,Adj_Close_3,IndexChg4_3,High_4,Low_4,VolChg5_4,Adj_Close_4,IndexChg5_4,High_5,Low_5,Adj_Close_5,VolChg5.1
XOM,81.660004,81.260002,80.459999,22.2,81.230003,0,82.169998,81.099998,22.53447673,81.25,-1.2,82.349998,80.199997,-21.60381286,81.879997,-19.51,80.709999,79.059998,-20.71732834,80.279999,31.13,80.940002,79.650002,79.790001,21.91914411
CVX,91.32,90.839996,90.050003,21.45,90.370003,0,91.32,90.160004,21.57759294,90.870003,-1.2,92.300003,89.800003,-20.66223026,91.349998,-19.51,90.440002,88.110001,20.67297084,90.010002,31.13,91.309998,88.809998,89.010002,16.61539974
SLB,77.150002,77.5,76.440002,19.79,76.830002,0,78.5,76.459999,21.47015639,77.028706,-1.2,78.980003,77.050003,-20.070252,77.674505,-19.51,77.419998,76.309998,21.32163088,76.720713,31.13,78.129997,76.230003,76.651166,21.6994352
APC,59.900002,61.02,60.130001,18.87,60.709999,0,62.240002,61.029999,21.33941075,61.130001,-1.2,62.490002,60.849998,20.12955974,62.02,-19.51,60.84,58.349998,-21.09982549,60.349998,31.13,59.849998,58.490002,58.740002,-16.00140819
EOG,83.43,83.269997,81.900002,20.6,82.019997,0,84.629997,83.199997,20.40030827,83.529999,-1.2,85.650002,83.160004,-20.69896913,85.139999,-19.51,83.379997,82.059998,17.99920729,82.57,31.13,83.269997,81.980003,82.629997,20.13395494
OXY,75.589996,75.260002,74.5,20.55,75.190002,0,76.040001,74.75,20.34,75.379997,-1.2,76.209999,73.970001,-20.77,75.900002,-19.51,74.709999,73.599998,19.51,74.099998,31.13,75.580002,73.959999,74.089996,20.30139795
COP,54.049999,54.09,53.25,21.17,53.48,0,55.080002,54.32,21.54759685,54.380001,-1.2,55.610001,53.380001,-21.30980272,55.32,-19.51,53.77,52.470001,16.86544331,53.279999,31.13,54.049999,52.639999,52.93,-19.9179431
VLO,71.860001,73.199997,72.379997,20.83,72.940002,0,73.800003,72.660004,20.97757062,72.93,-1.2,73.879997,71.839996,-19.15264135,73.029999,-19.51,73,71.169998,-19.93890762,72.68,31.13,72.199997,71.139999,71.980003,23.2717605
PXD,144.75,147,144.089996,19.5,144.630005,0,148.289993,145,20.21228738,146.580002,-1.2,149.990005,145.059998,-19.60657149,147.940002,-19.51,145.740005,140,-16.66761054,143.600006,31.13,143.169998,139.520004,141.210007,21.79288877
TSO,115.169998,118.099998,115.959999,19.68,117.220001,0,118.690002,116.699997,19.74468276,117.300003,-1.2,119.669998,115.919998,-18.94678065,117.739995,-19.51,117.860001,113.709999,-18.91210576,117.092742,31.13,115.199997,113.730003,113.956069,19.99175433
